brand,model,year,fuel_type,transmission,km_driven,owner_type,city,mileage,engine_cc,condition_rating,original_price,listed_price,estimated_final_price,days_to_sell,bargain_percent,car_age,depreciation_amount,resale_value_percent,demand_score,brand_popularity_score,price_per_km,premium_car
Maruti,Baleno,2024,Diesel,Automatic,14345,Second,Bhopal,20,1199,10,1133417,998993,819174,17,18,1,143468,88.14,9.19,10,69.64,0
Hyundai,Creta,2023,Petrol,Automatic,15461,First,Kolkata,21,1493,8,1573516,1257081,1093660,42,13,2,358330,79.89,9.13,10,81.31,0
Hyundai,Alcazar,2024,Petrol,Manual,17868,Third,Pune,20,1999,10,2215825,1929318,1794265,39,7,1,260541,87.07,9.02,10,107.98,0
Hyundai,Creta,2023,Petrol,Manual,21002,First,Bangalore,16,1493,10,1407825,1181587,1110691,26,6,2,253206,83.93,10,10,56.26,0
Tata,Tiago,2020,Petrol,Manual,59742,Second,Chandigarh,14,1199,8,671505,386921,375313,22,3,5,301973,57.62,7.18,8,6.48,0
Toyota,Urban Cruiser,2016,Petrol,Manual,122511,Second,Ahmedabad,20,1462,6,845210,195074,159960,50,18,9,630674,23.08,5.3,8,1.59,0
Kia,EV6,2023,Diesel,Automatic,35431,First,Hyderabad,15,0,7,9477903,7537776,6934753,31,8,2,2044477,79.53,8.52,8,212.75,1
Hyundai,i20,2017,Petrol,Manual,93191,First,Coimbatore,20,1197,4,903041,374491,322062,62,14,8,510815,41.47,5.09,8,4.02,0
Kia,Seltos,2018,Petrol,Manual,114934,First,Mumbai,21,1497,5,1106571,475050,437046,47,8,7,630703,42.93,7.84,8,4.13,0
Nissan,Kicks,2025,CNG,Automatic,500,First,Jaipur,21,1461,10,1572041,1493438,1403831,18,6,0,0,95,8.53,4,2986.88,0
Skoda,Kushaq,2017,Petrol,Manual,76084,Second,Mumbai,22,1498,6,1230929,551210,463016,35,16,8,689152,44.78,7,5,7.24,0
Hyundai,Grand i10,2020,Petrol,Automatic,72635,First,Lucknow,18,1197,7,887070,461986,397307,34,14,5,402506,52.08,8.95,10,6.36,0
Maruti,Swift,2020,Petrol,Manual,107600,Second,Bhopal,15,1197,8,965703,560687,476583,21,15,5,413244,58.06,8.62,10,5.21,0
Maruti,Baleno,2010,Petrol,Automatic,365168,Third,Jaipur,20,1197,2,532484,79872,68689,77,14,15,630746,15,3.19,10,0.22,0
Renault,Kiger,2020,Diesel,Automatic,95214,Second,Ahmedabad,25,999,6,971258,544778,522986,48,4,5,416819,56.09,8.19,7,5.72,0
Mahindra,XUV300,2022,Petrol,Automatic,47311,Second,Kolkata,16,1199,8,1239707,949739,835770,30,12,3,319126,76.61,7.63,7,20.07,0
Toyota,Glanza,2016,Petrol,Manual,109670,First,Bangalore,20,1197,4,883386,255740,217379,43,15,9,627228,28.95,6.18,9,2.33,0
Nissan,Terrano,2020,Petrol,Manual,78365,Second,Ahmedabad,22,1461,8,1065381,702405,611092,36,13,5,394172,65.93,5.94,6,8.96,0
Kia,EV6,2022,Petrol,Automatic,44809,First,Hyderabad,17,0,8,8147342,5791130,5038283,14,13,3,2332860,71.08,7.98,6,129.24,1
Tata,Tigor,2022,Diesel,Automatic,64989,Fourth,Kolkata,24,1199,7,826533,623536,573653,34,8,3,221036,75.44,9.4,9,9.59,0
Kia,EV6,2022,Electric,Automatic,40508,First,Jaipur,243,0,7,9303225,6700182,5963161,28,11,3,2510544,72.02,8.83,7,165.4,1
MG,Astor,2024,Petrol,Manual,24257,Second,Delhi,20,1499,10,1719455,1546477,1268111,23,18,1,191880,89.94,9.62,6,63.75,0
MG,Astor,2021,Diesel,Manual,86490,Second,Lucknow,25,1495,7,1420172,1008606,837142,27,17,4,392011,71.02,6.48,6,11.66,0
Hyundai,Aura,2024,Diesel,Manual,24893,Third,Coimbatore,19,1196,10,898526,792230,649628,35,18,1,119221,88.17,10,9,31.83,0
Hyundai,Verna,2022,Petrol,Manual,33990,Second,Delhi,16,1497,8,1290275,815711,709668,27,13,3,436474,63.22,8.02,9,24,0
Ford,Figo,2023,Petrol,Manual,22022,Second,Bhopal,19,1194,10,870057,690825,649375,33,6,2,177848,79.4,7.75,5,31.37,0
Hyundai,Tucson,2022,Petrol,Automatic,48409,Second,Kolkata,18,1998,9,3383768,2194035,1842989,22,16,3,1090542,64.84,8.23,10,,1
Hyundai,Verna,2024,Diesel,Automatic,7063,First,Mumbai,27,1497,10,1491386,1310779,1087946,15,17,1,170517,87.89,7.92,8,185.58,0
Tata,Nexon,2023,CNG,Manual,41335,Second,Mumbai,26,1496,7,1444961,1087333,956853,41,12,2,322158,75.25,9.42,9,26.31,0
Ford,Aspire,2023,Diesel,Manual,30231,First,Nagpur,20,1194,8,1138022,943192,830008,20,12,2,227595,82.88,6.51,4,31.2,0
Hyundai,Tucson,2020,Diesel,Automatic,74102,Second,Lucknow,,1998,7,3223109,1888419,1661808,45,12,5,1314424,58.59,7.92,8,25.48,1
Renault,Duster,2019,Diesel,Manual,94316,Third,Surat,19,1498,5,1272734,659148,547092,37,17,6,624683,51.79,7.37,7,6.99,0
Mahindra,Thar,2024,CNG,Manual,20976,Second,Lucknow,30,2184,10,2263172,1983896,1666472,39,16,1,246041,87.66,9.53,7,94.58,0
Toyota,Innova,2025,Petrol,Automatic,5683,Second,Bhopal,14,2393,10,2735176,2598417,2312591,17,11,0,0,95,8.91,8,1281.17,0
Hyundai,Verna,2022,Diesel,Automatic,55282,Second,Surat,25,1497,9,1243952,913807,895530,37,2,3,352756,73.46,9.67,9,35.21,0
Tata,Harrier,2025,Petrol,Manual,500,First,Nagpur,18,1956,10,2419208,2298247,2114387,30,8,0,0,95,10,9,4596.49,0
Skoda,Slavia,2023,Diesel,Automatic,33950,First,Nagpur,17,1498,9,1700342,1395640,1353770,30,3,2,316158,82.08,9.44,6,41.11,0
Nissan,Terrano,2019,Diesel,Manual,105612,First,Kolkata,22,1461,6,1123747,533105,437146,50,18,6,582220,47.44,5.02,4,5.05,0
Mahindra,XUV300,2022,Diesel,Manual,51843,Fourth,Nagpur,28,1197,7,1139072,827307,719757,46,13,3,337984,72.63,7.22,9,15.96,0
Ford,EcoSport,2025,Petrol,Manual,500,Second,Delhi,17,1497,10,1266256,1202943,1106707,13,8,0,0,95,8.89,4,2405.89,0
Honda,Amaze,2019,Petrol,Manual,79693,First,Ahmedabad,20,1199,5,1040105,536902,510056,37,5,6,527989,51.62,5.72,8,6.74,0
Ford,Endeavour,2016,Petrol,Automatic,153355,Fourth,Coimbatore,16,1996,5,4378450,1248296,1011119,42,19,9,3094913,28.51,5.05,5,8.14,1
Volkswagen,Vento,2025,Petrol,Manual,722,Second,Chandigarh,21,1598,10,1218278,1157364,1041627,15,10,0,0,95,10,6,1603,0
Toyota,Camry,2015,Diesel,Automatic,176757,First,Surat,24,2487,4,4434168,864219,717301,37,17,10,3536649,19.49,6.01,8,4.89,1
Hyundai,Creta,2025,Diesel,Manual,500,First,Pune,18,1493,10,1778999,1690049,1402740,40,17,0,0,95,9.29,10,3380.1,0
Hyundai,i20,2023,Petrol,Manual,40688,Second,Chandigarh,19,1197,9,1181038,950381,807823,25,15,2,255023,80.47,9.1,8,23.36,0
Hyundai,Tucson,2024,Diesel,Manual,6925,First,Jaipur,21,1998,10,4447199,3766332,3578015,23,5,1,574236,84.69,8.92,10,543.87,1
Tata,Punch,2022,Petrol,Automatic,26687,First,Chandigarh,19,1199,10,1015782,700076,686074,29,2,3,313933,68.92,10,8,26.23,0
Skoda,Kushaq,2018,Petrol,Manual,120673,First,Jaipur,21,1498,5,1161362,509837,469050,54,8,7,635589,43.9,4.33,6,4.22,0
Volkswagen,Taigun,2024,CNG,Manual,13371,Second,Nagpur,26,1498,10,1442347,1233206,1072889,28,13,1,193171,85.5,8.74,6,92.23,0
Renault,Kiger,2017,Petrol,Manual,145019,First,Ahmedabad,21,999,5,815424,255880,209821,40,18,8,583781,31.38,6.44,7,1.76,0
Renault,Kiger,2019,CNG,Manual,180068,Third,Delhi,21,999,5,786966,397260,365479,38,8,6,398624,50.48,4.96,6,2.21,0
Honda,Jazz,2015,CNG,Automatic,120490,First,Ahmedabad,27,1199,5,838180,155147,147389,38,5,10,701309,18.51,5.19,7,1.29,0
Ford,Aspire,2020,Petrol,Automatic,92141,First,Hyderabad,15,1194,10,891376,582514,559213,47,4,5,312660,65.35,6.8,4,6.32,0
Skoda,Kushaq,2025,Diesel,Automatic,500,First,Jaipur,26,1498,10,1577504,1498628,1408710,17,6,0,0,95,10,7,2997.26,0
Hyundai,Creta,2012,Petrol,Automatic,173678,First,Chennai,17,1491,3,1026377,153956,147797,65,4,13,1150595,15,6.06,9,0.89,0
Maruti,Ertiga,2025,Petrol,Manual,269,First,Coimbatore,18,1462,10,1347286,1279921,1190326,30,7,0,0,95,9.82,10,4758.07,0
Toyota,Innova,2020,Petrol,Manual,70904,Third,Jaipur,19,2393,6,2358319,1406501,1293980,30,8,5,951121,59.64,8.07,10,19.84,0
Mahindra,XUV700,2020,Petrol,Automatic,45049,First,Chandigarh,20,2184,8,2644781,1795541,1759630,22,2,5,923773,67.89,7.62,7,39.86,1
Honda,Amaze,2023,Diesel,Automatic,33684,Second,Delhi,19,1199,7,1189833,977566,948239,32,3,2,215660,82.16,7.94,7,29.02,0
Maruti,WagonR,2013,CNG,Manual,226215,Second,Chandigarh,23,1197,4,564036,84605,78682,41,7,12,590269,15,6.01,10,0.37,0
Tata,Tigor,2024,Diesel,Manual,18352,Second,Bangalore,21,1199,10,915554,777854,668954,18,14,1,118474,84.96,9.62,7,42.39,0
Tata,Harrier,2017,Diesel,Manual,91446,First,Delhi,21,1956,7,1805617,779123,740166,30,5,8,997763,43.15,7.13,9,8.52,0
Tata,Altroz,2020,Petrol,Manual,86314,Third,Bhopal,22,1199,6,822833,548006,460325,54,16,5,296481,66.6,8.02,7,6.35,0
Honda,Amaze,2019,Petrol,Manual,91832,Fourth,Bhopal,13,1197,6,925340,500886,470832,43,6,6,408764,54.13,6.1,8,5.45,0
Maruti,WagonR,2018,Petrol,Manual,95667,Second,Chandigarh,18,1197,5,600476,295734,245459,53,17,7,299841,49.25,7.95,9,3.09,0
Hyundai,Verna,2019,Petrol,Automatic,91573,Second,Nagpur,19,1497,6,1318011,774595,658405,29,15,6,572290,58.77,6.96,8,8.46,0
MG,ZS EV,2024,Petrol,Automatic,25207,Second,Pune,,0,10,3566159,3074029,2520703,24,18,1,461831,86.2,,8,121.95,1
Volkswagen,Polo,2021,Diesel,Automatic,50677,First,Surat,22,999,8,1113995,734345,704971,22,4,4,374492,65.92,8.31,5,14.49,0
Renault,Kiger,2021,Petrol,Automatic,92065,Second,Mumbai,21,999,7,1002143,624134,605409,50,3,4,364786,62.28,5.67,6,6.78,0
Toyota,Glanza,2025,Diesel,Manual,500,Second,Jaipur,25,1197,10,1005084,954829,859346,23,10,0,0,95,8.27,8,1909.66,0
Skoda,Octavia,2018,Petrol,Automatic,115327,First,Kolkata,16,1982,5,2756639,1024918,881429,45,14,7,1729739,37.18,5.54,5,8.89,1
Tata,Punch,2025,Diesel,Manual,3012,Second,Delhi,18,1199,9,1051508,998932,948985,16,5,0,0,95,9.28,9,331.65,0
Maruti,WagonR,2024,Petrol,Manual,10704,First,bangalore,16,1197,10,909275,805890,693065,39,14,1,109848,88.63,,9,75.29,0
Skoda,Kodiaq,2025,CNG,Automatic,5440,Fourth,Bhopal,21,1984,10,5180393,4921373,4626090,6,6,0,0,95,8.05,5,904.66,1
Skoda,Slavia,2018,Petrol,Manual,100099,First,Bangalore,,1498,6,1408247,578507,520656,33,10,7,868931,41.08,5.31,6,5.78,0
Toyota,Innova,2025,Diesel,Manual,642,Second,Surat,16,2393,9,2908164,2762755,2265459,31,18,0,0,95,10,10,4303.36,0
Volkswagen,Polo,2021,CNG,Manual,52004,First,Lucknow,30,999,8,979414,687254,604783,36,12,4,269153,70.17,7.94,5,13.22,0
Tata,Harrier,2025,Petrol,Automatic,90,First,Ahmedabad,22,1956,10,2296365,2181546,2072468,20,5,0,0,95,10,8,24239.4,0
Volkswagen,Taigun,2025,DIESEL,Automatic,5577,Fourth,Ahmedabad,25,1498,10,1572938,1494291,1389690,15,7,0,0,95,10,6,267.94,0
Tata,Tigor,2023,Diesel,Automatic,21773,First,Delhi,,1199,8,905787,742020,712339,42,4,2,156564,81.92,7.66,8,34.08,0
Maruti,Dzire,2022,Diesel,Automatic,84389,Third,Hyderabad,26,1197,6,1066629,780452,632166,48,19,3,277707,73.17,8.39,10,9.25,0
Maruti,Ciaz,2025,Diesel,Automatic,257,First,Coimbatore,22,1462,10,1417400,1346530,1279203,37,5,0,0,95,10,10,5239.42,0
